id,Questions,SQL,keywords,count results,count joins,count filters,count aggregations,nested,type
1,What is the area of Thailand?,SELECT max(area) FROM mondial_country where name  = 'Thailand',area thailand,1,0,0,0,0,simple
2,What are the provinces with an area greater than 10000?,SELECT name FROM mondial_province where area > 10000,province area more than 10000,1056,0,1,0,0,simple
3,What are the languages spoken in Poland?,SELECT mondial_language.name FROM mondial_language INNER JOIN mondial_country ON mondial_language.country = mondial_country.code WHERE mondial_country.name = 'Poland',languages spoken poland,1,1,1,0,0,medium
4,How deep is Lake Kariba?,SELECT depth FROM mondial_lake where name LIKE '%Lake Kariba%',deep Lake Kariba,1,0,1,0,0,simple
5,What is the total of provinces of Netherlands?,SELECT count(*) FROM mondial_province p INNER JOIN mondial_country c ON p.country = c.code WHERE c.name = 'Netherlands',total provinces Netherlands,1,1,1,1,0,complex
6,What is the percentage of religious people are hindu in thailand?,SELECT r.percentage FROM mondial_religion r INNER JOIN mondial_country c ON r.country = c.code WHERE c.name = 'Thailand' AND r.name LIKE '%Hindu%',percentage religious hindu Thailand,1,0,2,1,0,complex
7,List the number of provinces each river flows through.,"SELECT river.name, COUNT(DISTINCT geo_river.province) FROM river JOIN geo_river ON river.name = geo_river.river GROUP BY river.name ",number provinces each river through,137,2,0,1,0,medium
8,Find all countries that became independent between 8/1/1910 and 8/1/1950.,"SELECT c.name FROM mondial_country c 
INNER JOIN mondial_politics p ON c.code = p.country 
WHERE independence > DATE '1910-08-01' AND independence < DATE '1950-08-01' ",country independence between  8/1/1910 and 8/1/1950,32,1,2,0,0,complex
9,What are the cities of Cuba?,SELECT * FROM mondial_city ci INNER JOIN mondial_country c on ci.country = c.code where c.name = 'Cuba',cities of cuba,17,1,1,0,0,medium
10,What is the capital of Georgia?,SELECT capital FROM mondial_country WHERE name = 'Georgia',capital georgia,1,0,1,0,0,medium
11,How many provinces have areas greater than 1000 in Niger?,SELECT count(p.name) FROM mondial_province p INNER JOIN mondial_country c on p.country = c.code where c.name = 'Niger' AND p.area > 1000,provinces  areas greater than 1000 in Niger,1,1,2,1,0,complex
12,Tell me about the country with the area largest.,SELECT name FROM mondial_country GROUP BY name ORDER BY max(area) DESC FETCH FIRST 1 ROWS ONLY;,country Area largest,1,0,0,1,0,medium
13,"What is the host province and year of establishment of the organization ""International Energy Agency""?","SELECT o.province, o.established  FROM mondial_organization o WHERE o.name LIKE '%International Energy Agency%'",province year establishment organization International Energy Agency,1,0,1,0,0,medium
14,Find the name of all mountains whose elevation is higher than 1000.,SELECT name FROM mondial_mountain WHERE elevation > 1000.0,mountain elevation higher than 1000,561,0,1,0,0,medium
15,Tell me the economy of the Caribbean Sea.,"SELECT DISTINCT e.* FROM mondial_economy e 
INNER JOIN mondial_country c ON e.country = c.code
INNER JOIN mondial_geo_sea gs ON gs.country = c.code
INNER JOIN mondial_sea s ON s.name = gs.sea
WHERE s.name LIKE '%Caribbean Sea%'",Caribbean Sea economic,33,3,1,0,0,medium
16,Show the cities with longitude between 0 and 6.,SELECT name FROM mondial_city WHERE longitude BETWEEN 0 AND 6,cities longitude between 0 and 6,142,0,2,0,0,simple
17,"Select cities whose population is greater than 100000, altitude greater than 2500, and the country you belong to has population growth greater than 1.","SELECT ci.name FROM mondial_city ci
INNER JOIN mondial_country c ON c.code = ci.country
INNER JOIN mondial_population p ON p.country = c.code 
WHERE ci.population > 100000 AND ci.elevation > 2500 AND 
p.population_growth > 1",cities population greater than 100000 altitude greater than 2500 country belong population growth greater than 1. ,14,2,3,0,0,complex
18,Show all the different types of government.,SELECT DISTINCT government FROM mondial_politics ,different types government,81,0,0,0,0,simple
19,List all provinces in Germany,SELECT p.name FROM mondial_province p INNER JOIN mondial_country c ON p.country = c.code  WHERE c.name = 'Germany',provinces germany,16,1,1,0,0,medium
20,What is the percentage of mulatto ethnicity in Brazil?,SELECT eg.percentage FROM mondial_ethnicgroup eg INNER JOIN mondial_country c ON c.code = eg.country WHERE c.name = 'Brazil' AND eg.name LIKE '%Mulatto%',percentage mullato ethnic group brazil,1,1,2,0,0,complex
21,How many cities have populations less than 1000?,SELECT count(*) FROM mondial_city WHERE population < 1000,cities population less than 1000,1,0,1,1,0,simple
22,What is the average elevation of airports in America?,"SELECT avg(a.elevation) FROM mondial_airport a
INNER JOIN mondial_country c ON c.code = a.country 
INNER JOIN mondial_encompasses e ON e.country = c.code
INNER JOIN mondial_continent co ON co.name = e.continent
WHERE co.name = 'America'",average elevation airport America,1,3,1,1,0,complex
23,How many countries are adjacent to (or ecompassed by) the Caribbean Sea?,"SELECT COUNT(DISTINCT ec.country) AS number_of_countries
FROM mondial_geo_sea gs
JOIN mondial_encompasses ec ON gs.country = ec.country
WHERE gs.sea = 'Caribbean Sea';",countries encompasses Carribean Sea,1,1,1,1,0,medium
24,How much area do the countries that are adjacent to (or encompassed by) the Caribbean Sea cover in total?,"SELECT SUM(DISTINCT c.area) AS total_area
FROM mondial_Country c
JOIN mondial_encompasses e ON c.code = e.country
JOIN mondial_geo_sea gs ON e.country = gs.country
WHERE gs.sea = 'Caribbean Sea';",total area countries encompasses Carribean Sea,1,2,1,1,0,complex
25,"For all countries, give the sum of the population of all its neighbors","SELECT c.name AS country_name, SUM(c1.population) AS total_neighbor_population
FROM mondial_Country c
JOIN mondial_Borders b ON c.code = b.country1
JOIN mondial_Country c1 ON b.country2 = c1.code
GROUP BY c.name;",countries sum population neighbors,119,2,0,1,0,medium
26,What mountains are on the island of Borneo?,SELECT mountain FROM mondial_mountainonisland WHERE island LIKE '%Borneo%',mountains island Borneo,7,0,1,0,0,simple
27,Provide the name and total population of the country with the smallest area.,"SELECT name, population FROM mondial_country ORDER BY area ASC FETCH FIRST 1 ROWS ONLY;",name total population country smallest area,1,0,0,0,0,simple
28,The codes of all countries for which at least one river that originates in this country has its estuary in a neighboring country.,"SELECT DISTINCT s.country
FROM mondial_geo_estuary e, mondial_borders b, mondial_geo_source s
WHERE ((e.country = b.country1 AND s.country = b.country2)
OR (e.country = b.country2 AND s.country = b.country1))
AND e.river = s.river;",code countries river originates estuary neighboring ,56,0,5,0,0,complex
